iter	Logloss
0	0.6311813405
1	0.5869758504
2	0.5546229502
3	0.5297779795
4	0.5119685262
5	0.4968474426
6	0.4850279185
7	0.4774860433
8	0.4697646739
9	0.4625049337
10	0.4570656026
11	0.4517036489
12	0.4473945974
13	0.4452481689
14	0.4430314433
15	0.4402171224
16	0.4376868439
17	0.4356434886
18	0.4343050385
19	0.4328700562
20	0.4318210093
21	0.4302976634
22	0.4289813538
23	0.4279374034
24	0.4269568837
25	0.4258970693
26	0.4248641052
27	0.4241867065
28	0.4234333394
29	0.4229953715
30	0.4222327677
31	0.4217250214
32	0.4210457662
33	0.4204992879
34	0.4197115173
35	0.4192924856
36	0.4188991089
37	0.4184130605
38	0.4180694682
39	0.4174656779
40	0.4170126495
41	0.4165618947
42	0.4162127177
43	0.4157117869
44	0.4153291423
45	0.414959493
46	0.4144491119
47	0.4140022125
48	0.4135589091
49	0.4129756826
50	0.4121608734
51	0.4117701467
52	0.4115085856
53	0.4111527964
54	0.4106641184
55	0.4102025452
56	0.4098694611
57	0.409507487
58	0.4091723684
59	0.4089705607
60	0.4086677653
61	0.4083106181
62	0.4081755422
63	0.4078605499
64	0.407626943
65	0.4073781484
66	0.4070394643
67	0.4066401774
68	0.4063315226
69	0.4061528168
70	0.4058510234
71	0.4056562246
72	0.4054827423
73	0.4052020111
74	0.4049759878
75	0.404757665
76	0.4045707906
77	0.4042211355
78	0.4039789581
79	0.4035556641
80	0.4033876699
81	0.4031677246
82	0.4028136698
83	0.4026068726
84	0.4022407684
85	0.4019510396
86	0.4017171682
87	0.4012576192
88	0.4009457906
89	0.4007052561
90	0.4003249664
91	0.4000736796
92	0.3998544464
93	0.3993328908
94	0.3991605123
95	0.3988993073
96	0.3985565643
97	0.3983159078
98	0.3980339864
99	0.3977450511
