iter	Passed	Remaining
0	49	4896
1	51	2537
2	54	1753
3	57	1372
4	60	1141
5	62	980
6	65	869
7	67	778
8	70	709
9	72	653
10	75	611
11	78	573
12	80	541
13	83	512
14	85	487
15	88	465
16	91	446
17	93	427
18	96	410
19	98	394
20	101	380
21	103	367
22	106	355
23	108	344
24	111	333
25	113	323
26	115	313
27	118	304
28	120	295
29	123	287
30	125	279
31	128	273
32	131	266
33	133	259
34	136	252
35	138	246
36	141	240
37	143	234
38	148	232
39	150	225
40	152	219
41	155	214
42	157	209
43	160	203
44	162	198
45	164	193
46	166	188
47	169	183
48	171	178
49	174	174
50	176	170
51	179	165
52	181	161
53	184	156
54	187	153
55	190	149
56	193	145
57	196	142
58	198	138
59	201	134
60	204	130
61	207	127
62	210	123
63	213	120
64	217	116
65	220	113
66	223	109
67	225	106
68	228	102
69	232	99
70	234	95
71	237	92
72	240	88
73	243	85
74	245	81
75	248	78
76	251	75
77	254	71
78	256	68
79	259	64
80	261	61
81	265	58
82	268	55
83	272	51
84	274	48
85	277	45
86	280	41
87	284	38
88	287	35
89	289	32
90	293	28
91	295	25
92	299	22
93	302	19
94	305	16
95	308	12
96	311	9
97	314	6
98	318	3
99	322	0
